Book Name,Author,Author_Rating,Book_average_rating,genre,sale price,combined
Der Vorleser,"Bernhard Schlink, Carol Brown Janeway",Intermediate,3.73,genre fiction,2.99,"Der Vorleser Bernhard Schlink, Carol Brown Janeway genre fiction"
"Brown Bear, Brown Bear, What Do You See?","Bill Martin Jr., Eric Carle",Intermediate,4.19,genre fiction,4.99,"Brown Bear, Brown Bear, What Do You See? Bill Martin Jr., Eric Carle genre fiction"
Hyperion,Dan Simmons,Intermediate,4.21,genre fiction,0.99,Hyperion Dan Simmons genre fiction
The Pearl of the World,John Steinbeck,Novice,3.41,genre fiction,0.99,The Pearl of the World John Steinbeck genre fiction
The Exorcist,William Peter Blatty,Intermediate,4.14,genre fiction,2.99,The Exorcist William Peter Blatty genre fiction
The Short Second Life of Bree Tanner,Stephenie Meyer,Intermediate,3.51,genre fiction,0.99,The Short Second Life of Bree Tanner Stephenie Meyer genre fiction
Snow Falling on Cedars,David Guterson,Intermediate,3.8,genre fiction,2.99,Snow Falling on Cedars David Guterson genre fiction
Roots,Alex Haley,Famous,4.42,genre fiction,0.99,Roots Alex Haley genre fiction
Batman: The Killing Joke ,"Alan Moore, Brian Bolland, Tim Sale",Intermediate,4.36,genre fiction,0.99,"Batman: The Killing Joke  Alan Moore, Brian Bolland, Tim Sale genre fiction"
Invisible Man,Ralph Ellison,Intermediate,3.84,genre fiction,0.99,Invisible Man Ralph Ellison genre fiction
A Long Way Gone. Memoirs of a Boy Soldier,Ishmael Beah,Intermediate,4.14,genre fiction,7.99,A Long Way Gone. Memoirs of a Boy Soldier Ishmael Beah genre fiction
Mrs. Frisby and the Rats of NIMH,Robert C. O'Brien,Intermediate,4.13,genre fiction,3.99,Mrs. Frisby and the Rats of NIMH Robert C. O'Brien genre fiction
Different Seasons,Stephen King,Intermediate,4.34,genre fiction,10.99,Different Seasons Stephen King genre fiction
The Little House Collection,"Laura Ingalls Wilder, Garth Williams",Intermediate,4.33,genre fiction,11.47,"The Little House Collection Laura Ingalls Wilder, Garth Williams genre fiction"
The Girls' Guide to Hunting and Fishing,Melissa Bank,Novice,3.29,nonfiction,0.99,The Girls' Guide to Hunting and Fishing Melissa Bank nonfiction
Wool Omnibus,Hugh Howey,Intermediate,4.24,genre fiction,4.99,Wool Omnibus Hugh Howey genre fiction
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,Intermediate,4.26,genre fiction,10.65,"Lamb: The Gospel According to Biff, Christ's Childhood Pal Christopher Moore genre fiction"
The Power of Now,Eckhart Tolle,Intermediate,4.1,genre fiction,10.65,The Power of Now Eckhart Tolle genre fiction
Let's Pretend This Never Happened (A Mostly True Memoir),Jenny  Lawson,Intermediate,3.9,genre fiction,0.99,Let's Pretend This Never Happened (A Mostly True Memoir) Jenny  Lawson genre fiction
The Lies of Locke Lamora,Scott Lynch,Intermediate,4.3,genre fiction,2.99,The Lies of Locke Lamora Scott Lynch genre fiction
Sabriel,Garth Nix,Intermediate,4.17,genre fiction,19.98,Sabriel Garth Nix genre fiction
Dead and Gone,Charlaine Harris,Intermediate,4.01,genre fiction,4.99,Dead and Gone Charlaine Harris genre fiction
The Storyteller,Jodi Picoult,Intermediate,4.26,genre fiction,0.99,The Storyteller Jodi Picoult genre fiction
Obsidian,Jennifer L. Armentrout,Intermediate,4.23,genre fiction,11.99,Obsidian Jennifer L. Armentrout genre fiction
"Life, the Universe and Everything",Douglas Adams,Intermediate,4.19,genre fiction,5.99,"Life, the Universe and Everything Douglas Adams genre fiction"
Crown of Midnight,Sarah J. Maas,Famous,4.49,genre fiction,0.99,Crown of Midnight Sarah J. Maas genre fiction
"Scott Pilgrim, Volume 1: Scott Pilgrim's Precious Little Life",Bryan Lee O'Malley,Intermediate,4.18,genre fiction,0.99,"Scott Pilgrim, Volume 1: Scott Pilgrim's Precious Little Life Bryan Lee O'Malley genre fiction"
Half Broke Horses: A True Life Novel,Jeannette Walls,Intermediate,4.05,genre fiction,11.99,Half Broke Horses: A True Life Novel Jeannette Walls genre fiction
Mort,Terry Pratchett,Intermediate,4.22,genre fiction,8.97,Mort Terry Pratchett genre fiction
"The Iron King (The Iron Fey, #1) ",Julie Kagawa,Intermediate,3.92,genre fiction,0.99,"The Iron King (The Iron Fey, #1)  Julie Kagawa genre fiction"
Lonesome Dove,Larry McMurtry,Famous,4.47,genre fiction,3.99,Lonesome Dove Larry McMurtry genre fiction
Stiff: The Curious Lives of Human Cadavers,Mary Roach,Intermediate,4.05,nonfiction,10.65,Stiff: The Curious Lives of Human Cadavers Mary Roach nonfiction
Bloodlines,Richelle Mead,Intermediate,4.22,genre fiction,0.99,Bloodlines Richelle Mead genre fiction
Ender's Shadow,Orson Scott Card,Intermediate,4.3,nonfiction,0.99,Ender's Shadow Orson Scott Card nonfiction
Twenties Girl,Sophie Kinsella,Intermediate,3.82,genre fiction,4.99,Twenties Girl Sophie Kinsella genre fiction
Schindler's Ark,Thomas Keneally,Intermediate,4.34,genre fiction,6.19,Schindler's Ark Thomas Keneally genre fiction
The Bluest Eye,Toni Morrison,Intermediate,3.99,genre fiction,2.99,The Bluest Eye Toni Morrison genre fiction
The White Queen,Philippa Gregory,Intermediate,3.9,genre fiction,4.13,The White Queen Philippa Gregory genre fiction
The Autobiography of Malcolm X,"Malcolm X, Alex Haley",Intermediate,4.29,nonfiction,4.99,"The Autobiography of Malcolm X Malcolm X, Alex Haley nonfiction"
Preludes & Nocturnes,"Neil Gaiman, Sam Kieth, Mike Dringenberg, Malcolm Jones III, Todd Klein, Karen  Berger",Intermediate,4.3,nonfiction,5.56,"Preludes & Nocturnes Neil Gaiman, Sam Kieth, Mike Dringenberg, Malcolm Jones III, Todd Klein, Karen  Berger nonfiction"
Seabiscuit,Laura Hillenbrand,Intermediate,4.2,genre fiction,2.5,Seabiscuit Laura Hillenbrand genre fiction
Shutter Island,Dennis Lehane,Intermediate,4.07,genre fiction,10.65,Shutter Island Dennis Lehane genre fiction
The Complete Sherlock Holmes,Arthur Conan Doyle,Famous,4.5,genre fiction,7.99,The Complete Sherlock Holmes Arthur Conan Doyle genre fiction
The Tragedy of Julius Caesar,"William Shakespeare, Roma Gill",Intermediate,3.65,genre fiction,0.99,"The Tragedy of Julius Caesar William Shakespeare, Roma Gill genre fiction"
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Erik Larson,Intermediate,3.81,genre fiction,0.99,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin Erik Larson genre fiction"
Î Î¿Î»Î¹Ï„ÎµÎ¯Î±,"Plato, Desmond Lee",Intermediate,3.9,genre fiction,0.99,"Î Î¿Î»Î¹Ï„ÎµÎ¯Î± Plato, Desmond Lee genre fiction"
The Taming of the Shrew,William Shakespeare,Intermediate,3.81,nonfiction,6.99,The Taming of the Shrew William Shakespeare nonfiction
Cress,Marissa Meyer,Famous,4.46,nonfiction,2.99,Cress Marissa Meyer nonfiction
Just Kids,Patti Smith,Intermediate,4.14,genre fiction,1.99,Just Kids Patti Smith genre fiction
Jemima J,Jane Green,Intermediate,3.62,genre fiction,1.99,Jemima J Jane Green genre fiction
Notre-Dame de Paris,"Victor Hugo, Walter J. Cobb",Intermediate,3.97,nonfiction,7.91,"Notre-Dame de Paris Victor Hugo, Walter J. Cobb nonfiction"
A Fine Balance,Rohinton Mistry,Intermediate,4.34,genre fiction,2.99,A Fine Balance Rohinton Mistry genre fiction
Calvin and Hobbes,"Bill Watterson, G.B. Trudeau",Famous,4.61,nonfiction,4.99,"Calvin and Hobbes Bill Watterson, G.B. Trudeau nonfiction"
Specials,Scott Westerfeld,Intermediate,3.77,genre fiction,2.99,Specials Scott Westerfeld genre fiction
The Awakening,Kate Chopin,Intermediate,3.63,genre fiction,0.99,The Awakening Kate Chopin genre fiction
Hunted,"P.C. Cast, Kristin Cast",Intermediate,3.93,genre fiction,4.99,"Hunted P.C. Cast, Kristin Cast genre fiction"
For One More Day,Mitch Albom,Intermediate,4.09,genre fiction,3.99,For One More Day Mitch Albom genre fiction
Clear and Present Danger,Tom Clancy,Intermediate,4.08,genre fiction,2.99,Clear and Present Danger Tom Clancy genre fiction
Falling Up,Shel Silverstein,Intermediate,4.33,genre fiction,0.99,Falling Up Shel Silverstein genre fiction
Sh*t My Dad Says,Justin Halpern,Intermediate,3.98,nonfiction,7.5,Sh*t My Dad Says Justin Halpern nonfiction
Trainspotting,"Irvine Welsh, Eric Lindor Fall",Intermediate,4.07,genre fiction,2.99,"Trainspotting Irvine Welsh, Eric Lindor Fall genre fiction"
Foundation and Empire,Isaac Asimov,Intermediate,4.2,genre fiction,2.99,Foundation and Empire Isaac Asimov genre fiction
"The Four Agreements: A Practical Guide to Personal Freedom, A Toltec Wisdom Book",Miguel Ruiz,Intermediate,4.12,genre fiction,11.99,"The Four Agreements: A Practical Guide to Personal Freedom, A Toltec Wisdom Book Miguel Ruiz genre fiction"
House Rules,Jodi Picoult,Intermediate,4.01,nonfiction,11.19,House Rules Jodi Picoult nonfiction
BrÃ¼der Grimm: Kinder- und HausmÃ¤rchen,"Jacob Grimm, Wilhelm Grimm, Josef Scharl, Padraic Colum, Joseph Campbell, Margaret Raine Hunt, James Stern",Intermediate,4.31,genre fiction,4.99,"BrÃ¼der Grimm: Kinder- und HausmÃ¤rchen Jacob Grimm, Wilhelm Grimm, Josef Scharl, Padraic Colum, Joseph Campbell, Margaret Raine Hunt, James Stern genre fiction"
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,Intermediate,4.15,genre fiction,2.99,From the Mixed-Up Files of Mrs. Basil E. Frankweiler E.L. Konigsburg genre fiction
Doctor Sleep,Stephen King,Intermediate,4.1,genre fiction,0.99,Doctor Sleep Stephen King genre fiction
About a Boy,Nick Hornby,Intermediate,3.79,genre fiction,2.99,About a Boy Nick Hornby genre fiction
On Dublin Street,Samantha Young,Intermediate,4.24,nonfiction,10.91,On Dublin Street Samantha Young nonfiction
Crazy Love: Overwhelmed by a Relentless God,"Francis Chan, Danae Yankoski, Chris Tomlin",Intermediate,4.15,genre fiction,2.99,"Crazy Love: Overwhelmed by a Relentless God Francis Chan, Danae Yankoski, Chris Tomlin genre fiction"
"One Fish, Two Fish, Red Fish, Blue Fish",Dr. Seuss,Intermediate,4.12,nonfiction,1.99,"One Fish, Two Fish, Red Fish, Blue Fish Dr. Seuss nonfiction"
Watchers,Dean Koontz,Intermediate,4.16,genre fiction,2.99,Watchers Dean Koontz genre fiction
The Story of My Life,Helen Keller,Intermediate,4.07,nonfiction,0.99,The Story of My Life Helen Keller nonfiction
This Is Where I Leave You,Jonathan Tropper,Intermediate,3.88,genre fiction,0.99,This Is Where I Leave You Jonathan Tropper genre fiction
Abraham Lincoln: Vampire Hunter,Seth Grahame-Smith,Intermediate,3.7,genre fiction,0.99,Abraham Lincoln: Vampire Hunter Seth Grahame-Smith genre fiction
ãƒ•ãƒ«ãƒ¼ãƒ„ãƒã‚¹ã‚±ãƒƒãƒˆ 1,"Natsuki Takaya, Alethea Nibley, Athena Nibley",Intermediate,4.23,nonfiction,2.99,"ãƒ•ãƒ«ãƒ¼ãƒ„ãƒã‚¹ã‚±ãƒƒãƒˆ 1 Natsuki Takaya, Alethea Nibley, Athena Nibley nonfiction"
The Tempest,William Shakespeare,Intermediate,3.8,genre fiction,2.99,The Tempest William Shakespeare genre fiction
Burned: A House of Night Novel,"P.C. Cast, Kristin Cast",Intermediate,3.98,genre fiction,2.99,"Burned: A House of Night Novel P.C. Cast, Kristin Cast genre fiction"
Wizard and Glass,"Stephen King, Dave McKean",Intermediate,4.24,fiction,2.99,"Wizard and Glass Stephen King, Dave McKean fiction"
The Circle,Dave Eggers,Novice,3.46,genre fiction,11.39,The Circle Dave Eggers genre fiction
The Invention of Hugo Cabret,Brian Selznick,Intermediate,4.23,genre fiction,4.99,The Invention of Hugo Cabret Brian Selznick genre fiction
Brave New World/Brave New World Revisited,"Aldous Huxley, Christopher Hitchens",Intermediate,4.16,genre fiction,4.99,"Brave New World/Brave New World Revisited Aldous Huxley, Christopher Hitchens genre fiction"
æ¡œè˜­é«˜æ ¡ãƒ›ã‚¹ãƒˆéƒ¨ 1,Bisco Hatori,Excellent,4.36,genre fiction,1.99,æ¡œè˜­é«˜æ ¡ãƒ›ã‚¹ãƒˆéƒ¨ 1 Bisco Hatori genre fiction
The Good Girl,Mary Kubica,Intermediate,3.81,genre fiction,7.99,The Good Girl Mary Kubica genre fiction
"Fallen Too Far (Too Far, #1)",Abbi Glines,Excellent,4.21,genre fiction,8.82,"Fallen Too Far (Too Far, #1) Abbi Glines genre fiction"
Landline,Rainbow Rowell,Intermediate,3.55,genre fiction,3.99,Landline Rainbow Rowell genre fiction
Tempted,"P.C. Cast, Kristin Cast",Intermediate,3.96,fiction,8.49,"Tempted P.C. Cast, Kristin Cast fiction"
No Country for Old Men,Cormac McCarthy,Excellent,4.12,genre fiction,4.99,No Country for Old Men Cormac McCarthy genre fiction
Wolf Hall,Hilary Mantel,Intermediate,3.85,genre fiction,7.69,Wolf Hall Hilary Mantel genre fiction
Howl's Moving Castle,Diana Wynne Jones,Excellent,4.3,genre fiction,2.99,Howl's Moving Castle Diana Wynne Jones genre fiction
Dreamcatcher,"Stephen King, William Olivier Desmond",Intermediate,3.59,genre fiction,4.99,"Dreamcatcher Stephen King, William Olivier Desmond genre fiction"
Walden; or Life in the Woods,Henry David Thoreau,Intermediate,3.79,nonfiction,6.49,Walden; or Life in the Woods Henry David Thoreau nonfiction
The Remains of the Day,Kazuo Ishiguro,Excellent,4.1,nonfiction,5.99,The Remains of the Day Kazuo Ishiguro nonfiction
The Best of Me,Nicholas Sparks,Intermediate,3.91,genre fiction,0.99,The Best of Me Nicholas Sparks genre fiction
The Sense of an Ending,Julian Barnes,Intermediate,3.7,genre fiction,0.99,The Sense of an Ending Julian Barnes genre fiction
A is for Alibi,Sue Grafton,Intermediate,3.82,genre fiction,1.99,A is for Alibi Sue Grafton genre fiction
ÎŸá¼°Î´Î¯Ï€Î¿Ï…Ï‚ Î¤ÏÏÎ±Î½Î½Î¿Ï‚,"Sophocles, J.E. Thomas",Intermediate,3.67,genre fiction,7.99,"ÎŸá¼°Î´Î¯Ï€Î¿Ï…Ï‚ Î¤ÏÏÎ±Î½Î½Î¿Ï‚ Sophocles, J.E. Thomas genre fiction"
Shanghai Girls,Lisa See,Intermediate,3.87,nonfiction,6.99,Shanghai Girls Lisa See nonfiction
The Wind in the Willows,"Kenneth Grahame, Gillian Avery",Intermediate,3.98,genre fiction,33.86,"The Wind in the Willows Kenneth Grahame, Gillian Avery genre fiction"
To All the Boys I've Loved Before,Jenny Han,Excellent,4.11,nonfiction,1.99,To All the Boys I've Loved Before Jenny Han nonfiction
Persepolis,"Marjane Satrapi, Mattias Ripa",Excellent,4.23,genre fiction,4.99,"Persepolis Marjane Satrapi, Mattias Ripa genre fiction"
A Room with a View,E.M. Forster,Intermediate,3.91,genre fiction,2.99,A Room with a View E.M. Forster genre fiction
The DUFF: Designated Ugly Fat Friend,Kody Keplinger,Intermediate,3.86,genre fiction,3.99,The DUFF: Designated Ugly Fat Friend Kody Keplinger genre fiction
Lock and Key,Sarah Dessen,Excellent,4.01,nonfiction,2.99,Lock and Key Sarah Dessen nonfiction
Naked in Death,J.D. Robb,Excellent,4.13,genre fiction,6.01,Naked in Death J.D. Robb genre fiction
The Chamber,John Grisham,Intermediate,3.76,genre fiction,0.99,The Chamber John Grisham genre fiction
Midnight Sun (Partial Draft),Stephenie Meyer,Excellent,4.03,genre fiction,0.99,Midnight Sun (Partial Draft) Stephenie Meyer genre fiction
NARUTO -ãƒŠãƒ«ãƒˆ- å·»ãƒŽä¸€ ,"Masashi Kishimoto, Katy Bridges",Excellent,4.35,nonfiction,0.99,"NARUTO -ãƒŠãƒ«ãƒˆ- å·»ãƒŽä¸€  Masashi Kishimoto, Katy Bridges nonfiction"
The Unlikely Pilgrimage of Harold Fry,Rachel Joyce,Intermediate,3.89,genre fiction,12.74,The Unlikely Pilgrimage of Harold Fry Rachel Joyce genre fiction
Every Day,David Levithan,Intermediate,3.99,genre fiction,3.99,Every Day David Levithan genre fiction
Xenocide,Orson Scott Card,Intermediate,3.77,genre fiction,5.99,Xenocide Orson Scott Card genre fiction
The Merchant of Venice,"William Shakespeare, Robert          Jackson, Barbara A. Mowat, Paul Werstine",Intermediate,3.78,genre fiction,1.5,"The Merchant of Venice William Shakespeare, Robert          Jackson, Barbara A. Mowat, Paul Werstine genre fiction"
ShÅgun,James Clavell,Excellent,4.37,genre fiction,7.32,ShÅgun James Clavell genre fiction
"Lover Awakened (Black Dagger Brotherhood, #3)",J.R. Ward,Famous,4.45,genre fiction,4.99,"Lover Awakened (Black Dagger Brotherhood, #3) J.R. Ward genre fiction"
A Court of Thorns and Roses,Sarah J. Maas,Excellent,4.29,nonfiction,12.99,A Court of Thorns and Roses Sarah J. Maas nonfiction
Chicka Chicka Boom Boom,"Bill Martin Jr., John Archambault, Lois Ehlert",Excellent,4.21,fiction,3.99,"Chicka Chicka Boom Boom Bill Martin Jr., John Archambault, Lois Ehlert fiction"
Smile,Raina Telgemeier,Excellent,4.19,genre fiction,9.59,Smile Raina Telgemeier genre fiction
 Animal Farm & 1984,"George Orwell, Christopher Hitchens",Excellent,4.26,genre fiction,0.99," Animal Farm & 1984 George Orwell, Christopher Hitchens genre fiction"
The Deep End of the Ocean,Jacquelyn Mitchard,Intermediate,3.84,genre fiction,0.99,The Deep End of the Ocean Jacquelyn Mitchard genre fiction
The Bonesetter's Daughter,Amy Tan,Intermediate,3.98,nonfiction,0.99,The Bonesetter's Daughter Amy Tan nonfiction
"Angus, Thongs and Full-Frontal Snogging",Louise Rennison,Intermediate,3.74,genre fiction,3.75,"Angus, Thongs and Full-Frontal Snogging Louise Rennison genre fiction"
Mr. Penumbra's 24-Hour Bookstore,Robin Sloan,Intermediate,3.75,genre fiction,6.49,Mr. Penumbra's 24-Hour Bookstore Robin Sloan genre fiction
Flowers in the Attic,V.C. Andrews,Intermediate,3.79,children,7.14,Flowers in the Attic V.C. Andrews children
When Breath Becomes Air,"Paul Kalanithi, Abraham Verghese",Excellent,4.32,genre fiction,3.99,"When Breath Becomes Air Paul Kalanithi, Abraham Verghese genre fiction"
Maniac Magee,Jerry Spinelli,Intermediate,3.86,genre fiction,2.99,Maniac Magee Jerry Spinelli genre fiction
Invisible Monsters,Chuck Palahniuk,Intermediate,4.0,genre fiction,2.99,Invisible Monsters Chuck Palahniuk genre fiction
"Twelfth Night; or, What You Will",William Shakespeare,Intermediate,3.97,genre fiction,5.99,"Twelfth Night; or, What You Will William Shakespeare genre fiction"
Gathering Blue,Lois Lowry,Intermediate,3.8,genre fiction,3.99,Gathering Blue Lois Lowry genre fiction
The Westing Game,Ellen Raskin,Excellent,4.03,genre fiction,3.99,The Westing Game Ellen Raskin genre fiction
Red Rising,Pierce Brown,Excellent,4.26,genre fiction,0.99,Red Rising Pierce Brown genre fiction
The Way of Shadows,Brent Weeks,Excellent,4.15,genre fiction,2.99,The Way of Shadows Brent Weeks genre fiction
The Bean Trees,Barbara Kingsolver,Intermediate,3.94,children,6.57,The Bean Trees Barbara Kingsolver children
Walking Disaster,Jamie McGuire,Excellent,4.23,genre fiction,12.99,Walking Disaster Jamie McGuire genre fiction
Words of Radiance,Brandon Sanderson,Famous,4.77,genre fiction,2.99,Words of Radiance Brandon Sanderson genre fiction
Guess How Much I Love You,"Sam McBratney, Anita Jeram",Excellent,4.36,genre fiction,2.99,"Guess How Much I Love You Sam McBratney, Anita Jeram genre fiction"
The Fiery Cross,Diana Gabaldon,Excellent,4.26,genre fiction,4.62,The Fiery Cross Diana Gabaldon genre fiction
Night Shift,"Stephen King, John D. MacDonald",Intermediate,3.96,genre fiction,0.99,"Night Shift Stephen King, John D. MacDonald genre fiction"
Jaws,Peter Benchley,Intermediate,3.96,genre fiction,4.99,Jaws Peter Benchley genre fiction
The History of Love,Nicole Krauss,Intermediate,3.91,genre fiction,3.99,The History of Love Nicole Krauss genre fiction
Pippi LÃ¥ngstrump,"Astrid Lindgren, Lauren Child, Florence Lamborn, Nancy Seligsohn",Excellent,4.11,genre fiction,3.99,"Pippi LÃ¥ngstrump Astrid Lindgren, Lauren Child, Florence Lamborn, Nancy Seligsohn genre fiction"
L'Ã©lÃ©gance du hÃ©risson,"Muriel Barbery, Alison Anderson",Intermediate,3.73,genre fiction,6.99,"L'Ã©lÃ©gance du hÃ©risson Muriel Barbery, Alison Anderson genre fiction"
Team of Rivals: The Political Genius of Abraham Lincoln,"Doris Kearns Goodwin, Suzanne Toren",Excellent,4.3,genre fiction,2.99,"Team of Rivals: The Political Genius of Abraham Lincoln Doris Kearns Goodwin, Suzanne Toren genre fiction"
Dead in the Family,Charlaine Harris,Intermediate,3.88,genre fiction,6.15,Dead in the Family Charlaine Harris genre fiction
La peste,"Albert Camus, Stuart Gilbert",Intermediate,3.97,genre fiction,3.99,"La peste Albert Camus, Stuart Gilbert genre fiction"
The Reptile Room,"Lemony Snicket, Brett Helquist",Intermediate,3.95,genre fiction,4.99,"The Reptile Room Lemony Snicket, Brett Helquist genre fiction"
Brain on Fire,Susannah Cahalan,Intermediate,4.0,genre fiction,10.65,Brain on Fire Susannah Cahalan genre fiction
Wicked Lovely ,Melissa Marr,Intermediate,3.69,genre fiction,4.99,Wicked Lovely  Melissa Marr genre fiction
Curious George,H.A. Rey,Excellent,4.13,genre fiction,0.99,Curious George H.A. Rey genre fiction
Die unendliche Geschichte,"Michael Ende, Ralph Manheim, Roswitha Quadflieg",Excellent,4.17,genre fiction,3.99,"Die unendliche Geschichte Michael Ende, Ralph Manheim, Roswitha Quadflieg genre fiction"
A Beautiful Mind,Sylvia Nasar,Excellent,4.12,genre fiction,6.49,A Beautiful Mind Sylvia Nasar genre fiction
The Jungle,"Upton Sinclair, Earl Lee, Kathleen DeGrave",Intermediate,3.72,genre fiction,5.99,"The Jungle Upton Sinclair, Earl Lee, Kathleen DeGrave genre fiction"
The Summoning,Kelley Armstrong,Excellent,4.03,genre fiction,1.99,The Summoning Kelley Armstrong genre fiction
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Oliver Sacks,Excellent,4.04,nonfiction,4.99,The Man Who Mistook His Wife for a Hat and Other Clinical Tales Oliver Sacks nonfiction
Storm Island,Ken Follett,Excellent,4.16,fiction,2.99,Storm Island Ken Follett fiction
The Blind Assassin,Margaret Atwood,Intermediate,3.95,nonfiction,7.99,The Blind Assassin Margaret Atwood nonfiction
Hollow City,Ransom Riggs,Excellent,4.07,genre fiction,6.99,Hollow City Ransom Riggs genre fiction
House of Sand and Fog,Andre Dubus III,Intermediate,3.83,genre fiction,3.99,House of Sand and Fog Andre Dubus III genre fiction
The Girl with All the Gifts,M.R. Carey,Intermediate,3.93,genre fiction,1.99,The Girl with All the Gifts M.R. Carey genre fiction
As I Lay Dying,William Faulkner,Intermediate,3.72,nonfiction,1.99,As I Lay Dying William Faulkner nonfiction
Harold and the Purple Crayon,Crockett Johnson,Excellent,4.24,genre fiction,3.99,Harold and the Purple Crayon Crockett Johnson genre fiction
"Lover Eternal (Black Dagger Brotherhood, #2)",J.R. Ward,Excellent,4.35,nonfiction,10.65,"Lover Eternal (Black Dagger Brotherhood, #2) J.R. Ward nonfiction"
Fool Moon ,Jim Butcher,Excellent,4.04,genre fiction,2.99,Fool Moon  Jim Butcher genre fiction
David and Goliath,Malcolm Gladwell,Intermediate,3.9,nonfiction,10.91,David and Goliath Malcolm Gladwell nonfiction
é‹¼ã®éŒ¬é‡‘è¡“å¸« 1,"Hiromu Arakawa, Akira Watanabe",Famous,4.49,genre fiction,0.99,"é‹¼ã®éŒ¬é‡‘è¡“å¸« 1 Hiromu Arakawa, Akira Watanabe genre fiction"
Guards! Guards!,Terry Pratchett,Excellent,4.32,genre fiction,4.99,Guards! Guards! Terry Pratchett genre fiction
The Year of Magical Thinking,Joan Didion,Intermediate,3.86,genre fiction,3.99,The Year of Magical Thinking Joan Didion genre fiction
We Need to Talk About Kevin,Lionel Shriver,Excellent,4.07,genre fiction,25.89,We Need to Talk About Kevin Lionel Shriver genre fiction
Rendezvous with Rama,Arthur C. Clarke,Excellent,4.06,genre fiction,6.47,Rendezvous with Rama Arthur C. Clarke genre fiction
The Queen of the Damned,Anne Rice,Intermediate,3.86,genre fiction,0.99,The Queen of the Damned Anne Rice genre fiction
The Age of Innocence,"Edith Wharton, Maureen Howard",Intermediate,3.93,genre fiction,5.26,"The Age of Innocence Edith Wharton, Maureen Howard genre fiction"
The Selfish Gene,Richard Dawkins,Excellent,4.11,genre fiction,3.99,The Selfish Gene Richard Dawkins genre fiction
Year of Wonders: A Novel of the Plague,Geraldine Brooks,Intermediate,4.0,genre fiction,0.99,Year of Wonders: A Novel of the Plague Geraldine Brooks genre fiction
The Black Echo,Michael Connelly,Excellent,4.08,nonfiction,5.69,The Black Echo Michael Connelly nonfiction
Anthem,Ayn Rand,Intermediate,3.62,genre fiction,4.99,Anthem Ayn Rand genre fiction
Gabriel's Inferno,Sylvain Reynard,Excellent,4.02,genre fiction,7.99,Gabriel's Inferno Sylvain Reynard genre fiction
Cloudy with a Chance of Meatballs,"Judi Barrett, Ron Barrett",Excellent,4.15,genre fiction,7.49,"Cloudy with a Chance of Meatballs Judi Barrett, Ron Barrett genre fiction"
Major Pettigrew's Last Stand,Helen Simonson,Intermediate,3.87,genre fiction,2.99,Major Pettigrew's Last Stand Helen Simonson genre fiction
Vision in White,Nora Roberts,Excellent,4.1,genre fiction,1.99,Vision in White Nora Roberts genre fiction
The Tenth Circle,Jodi Picoult,Novice,3.48,genre fiction,17.98,The Tenth Circle Jodi Picoult genre fiction
The Throne of Fire,Rick Riordan,Excellent,4.2,nonfiction,9.44,The Throne of Fire Rick Riordan nonfiction
Old Man's War,John Scalzi,Excellent,4.23,genre fiction,5.99,Old Man's War John Scalzi genre fiction
Gerald's Game,Stephen King,Famous,3.47,fiction,1.99,Gerald's Game Stephen King fiction
Two for the Dough,Janet Evanovich,Excellent,4.11,nonfiction,9.99,Two for the Dough Janet Evanovich nonfiction
The Joy of Cooking,"Irma S. Rombauer, Marion Rombauer Becker, Ethan Becker",Excellent,4.14,fiction,8.59,"The Joy of Cooking Irma S. Rombauer, Marion Rombauer Becker, Ethan Becker fiction"
The Forever War,Joe Haldeman,Excellent,4.15,genre fiction,0.99,The Forever War Joe Haldeman genre fiction
Insomnia,"Stephen King, Bettina Blanch Tyroller",Intermediate,3.79,genre fiction,10.65,"Insomnia Stephen King, Bettina Blanch Tyroller genre fiction"
Reading Lolita in Tehran: A Memoir in Books,Azar Nafisi,Intermediate,3.57,genre fiction,4.99,Reading Lolita in Tehran: A Memoir in Books Azar Nafisi genre fiction
The Blade Itself,Joe Abercrombie,Excellent,4.14,genre fiction,7.99,The Blade Itself Joe Abercrombie genre fiction
The Arctic Incident,Eoin Colfer,Intermediate,3.94,nonfiction,2.99,The Arctic Incident Eoin Colfer nonfiction
The Shipping News,Annie Proulx,Intermediate,3.83,genre fiction,5.99,The Shipping News Annie Proulx genre fiction
äººç”ŸãŒã¨ãã‚ãç‰‡ã¥ã‘ã®é­”æ³•,"Marie KondÅ, Cathy Hirano",Intermediate,3.77,genre fiction,3.99,"äººç”ŸãŒã¨ãã‚ãç‰‡ã¥ã‘ã®é­”æ³• Marie KondÅ, Cathy Hirano genre fiction"
All the Bright Places,"Jennifer Niven, ÙØ±Ø§Ù†Ú© Ù…Ø¹Ù†ÙˆÛŒ",Excellent,4.19,genre fiction,1.99,"All the Bright Places Jennifer Niven, ÙØ±Ø§Ù†Ú© Ù…Ø¹Ù†ÙˆÛŒ genre fiction"
